timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
2023/10/09 17:41:15.596,913,Get Token,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,463,323,2,2,913,0,707
2023/10/09 17:41:15.596,913,Get Token,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,463,323,2,2,913,0,707
2023/10/09 17:41:16.510,961,Get Accounts,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,692,525,2,2,961,0,636
2023/10/09 17:41:16.510,1009,Get Accounts,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,692,525,2,2,1009,0,637
2023/10/09 17:41:17.472,208,Get Accounts With CreditCardAccountId,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,852,562,2,2,208,0,0
2023/10/09 17:41:17.519,205,Get Accounts With CreditCardAccountId,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,852,562,2,2,205,0,0
2023/10/09 17:41:17.681,15394,Get Accounts With Bill,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,17807,618,2,2,15394,0,0
2023/10/09 17:41:17.725,15795,Get Accounts With Bill,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,17807,618,2,2,15795,0,0
2023/10/09 17:41:33.074,1778,Get Accounts With Bills,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,69956,568,2,2,1582,0,393
2023/10/09 17:41:33.519,1551,Get Accounts With Bills,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,69956,568,2,2,1160,0,394
2023/10/09 17:41:34.853,16646,Get Accounts Transactions,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,17704,575,2,2,16646,0,0
2023/10/09 17:41:35.070,16951,Get Accounts Transactions,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,17704,575,2,2,16951,0,0
2023/10/09 17:41:51.500,863,Get Accounts Transactions Current,404,Not Found,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,false,,372,583,2,2,863,0,444
2023/10/09 17:41:52.022,624,Get Accounts Transactions Current,404,Not Found,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,false,,372,583,2,2,624,0,404
2023/10/09 17:41:52.364,850,Get Token,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,463,323,2,2,850,0,637
2023/10/09 17:41:52.647,822,Get Token,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,463,323,2,2,821,0,597
2023/10/09 17:41:53.214,809,Get Accounts,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,692,525,2,2,809,0,592
2023/10/09 17:41:54.023,205,Get Accounts With CreditCardAccountId,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,852,562,2,2,205,0,0
2023/10/09 17:41:53.469,894,Get Accounts,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,692,525,2,2,894,0,650
2023/10/09 17:41:54.364,209,Get Accounts With CreditCardAccountId,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,852,562,2,2,209,0,0
2023/10/09 17:41:54.229,15095,Get Accounts With Bill,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,17807,618,2,2,15095,0,0
2023/10/09 17:41:54.573,15259,Get Accounts With Bill,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,17807,618,2,2,15259,0,0
2023/10/09 17:42:09.324,1674,Get Accounts With Bills,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,69956,568,2,2,1476,0,397
2023/10/09 17:42:09.832,1565,Get Accounts With Bills,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,69956,568,2,2,1364,0,393
2023/10/09 17:42:16.176,803,Get Token,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-4,text,true,,463,323,4,4,803,0,603
