timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
2023/10/02 14:54:32.045,872,Get Token,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,471,426,2,2,872,0,672
2023/10/02 14:54:32.043,874,Get Token,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,471,426,2,2,874,0,674
2023/10/02 14:54:32.931,42296,Get Identifications,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to open-banking.api-corporate-customer.hml.in.devneon.com.br:5001 [open-banking.api-corporate-customer.hml.in.devneon.com.br/10.12.111.170, open-banking.api-corporate-customer.hml.in.devneon.com.br/10.12.10.98] failed: Connection timed out: connect",bzm - Concurrency Thread Group-ThreadStarter 1-2,text,false,,3024,0,2,2,0,0,42296
2023/10/02 14:54:32.931,42296,Get Identifications,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to open-banking.api-corporate-customer.hml.in.devneon.com.br:5001 [open-banking.api-corporate-customer.hml.in.devneon.com.br/10.12.111.170, open-banking.api-corporate-customer.hml.in.devneon.com.br/10.12.10.98] failed: Connection timed out: connect",bzm - Concurrency Thread Group-ThreadStarter 1-1,text,false,,3024,0,2,2,0,0,42296
2023/10/02 14:55:15.230,829,Get Token,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,471,667,2,2,829,0,631
2023/10/02 14:55:15.230,846,Get Token,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,471,667,2,2,846,0,641
2023/10/02 14:55:32.696,792,Get Token,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-3,text,true,,471,426,4,4,792,0,596
2023/10/02 14:55:32.697,793,Get Token,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-4,text,true,,471,426,4,4,793,0,595
2023/10/02 14:55:16.060,42155,Get Identifications,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to open-banking.api-corporate-customer.hml.in.devneon.com.br:5001 [open-banking.api-corporate-customer.hml.in.devneon.com.br/10.12.10.98, open-banking.api-corporate-customer.hml.in.devneon.com.br/10.12.111.170] failed: Connection timed out: connect",bzm - Concurrency Thread Group-ThreadStarter 1-2,text,false,,3024,0,4,4,0,0,42155
2023/10/02 14:55:16.076,42139,Get Identifications,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to open-banking.api-corporate-customer.hml.in.devneon.com.br:5001 [open-banking.api-corporate-customer.hml.in.devneon.com.br/10.12.10.98, open-banking.api-corporate-customer.hml.in.devneon.com.br/10.12.111.170] failed: Connection timed out: connect",bzm - Concurrency Thread Group-ThreadStarter 1-1,text,false,,3024,0,4,4,0,0,42139
2023/10/02 14:55:58.217,896,Get Token,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,471,667,4,4,896,0,693
2023/10/02 14:55:58.218,907,Get Token,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,471,667,4,4,907,0,703
2023/10/02 14:55:33.491,42087,Get Identifications,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to open-banking.api-corporate-customer.hml.in.devneon.com.br:5001 [open-banking.api-corporate-customer.hml.in.devneon.com.br/10.12.10.98, open-banking.api-corporate-customer.hml.in.devneon.com.br/10.12.111.170] failed: Connection timed out: connect",bzm - Concurrency Thread Group-ThreadStarter 1-4,text,false,,3024,0,4,4,0,0,42087
2023/10/02 14:55:33.489,42089,Get Identifications,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to open-banking.api-corporate-customer.hml.in.devneon.com.br:5001 [open-banking.api-corporate-customer.hml.in.devneon.com.br/10.12.10.98, open-banking.api-corporate-customer.hml.in.devneon.com.br/10.12.111.170] failed: Connection timed out: connect",bzm - Concurrency Thread Group-ThreadStarter 1-3,text,false,,3024,0,4,4,0,0,42089
2023/10/02 14:56:15.580,790,Get Token,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-3,text,true,,471,667,4,4,790,0,593
2023/10/02 14:56:15.580,793,Get Token,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-4,text,true,,471,667,4,4,793,0,596
2023/10/02 14:56:32.377,909,Get Token,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-6,text,true,,471,426,6,6,909,0,711
2023/10/02 14:56:32.375,916,Get Token,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-5,text,true,,471,426,6,6,916,0,719
