timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
2023/10/02 15:06:52.639,872,Get Token,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,471,335,2,2,872,0,667
2023/10/02 15:06:52.640,871,Get Token,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,471,335,2,2,871,0,662
2023/10/02 15:06:53.513,1530,Get Identifications,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,2033,525,2,2,1530,0,705
2023/10/02 15:06:53.513,1532,Get Identifications,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,2033,525,2,2,1532,0,708
2023/10/02 15:06:55.046,1449,Get Qualifications,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,1027,524,2,2,1449,0,0
2023/10/02 15:06:55.043,1469,Get Qualifications,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,1027,524,2,2,1469,0,0
2023/10/02 15:06:56.497,613,Get Financial-Relations,400,Bad Request,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,false,,479,547,2,2,613,0,404
2023/10/02 15:06:56.514,602,Get Financial-Relations,400,Bad Request,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,false,,479,547,2,2,602,0,400
2023/10/02 15:06:57.111,868,Get Token,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,471,335,2,2,868,0,625
2023/10/02 15:06:57.117,862,Get Token,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,471,335,2,2,862,0,617
2023/10/02 15:06:57.980,870,Get Identifications,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,2033,525,2,2,870,0,605
2023/10/02 15:06:57.980,967,Get Identifications,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,2033,525,2,2,967,0,605
2023/10/02 15:06:58.851,406,Get Qualifications,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,1027,524,2,2,406,0,0
2023/10/02 15:06:58.947,417,Get Qualifications,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,1027,524,2,2,417,0,0
2023/10/02 15:06:59.258,203,Get Financial-Relations,400,Bad Request,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,false,,479,547,2,2,202,0,0
2023/10/02 15:06:59.364,204,Get Financial-Relations,400,Bad Request,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,false,,479,547,2,2,204,0,0
2023/10/02 15:06:59.462,795,Get Token,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,471,335,2,2,795,0,597
2023/10/02 15:06:59.569,808,Get Token,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,471,335,2,2,808,0,606
2023/10/02 15:07:00.256,835,Get Identifications,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,2033,525,2,2,835,0,596
2023/10/02 15:07:00.376,852,Get Identifications,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,2033,525,2,2,852,0,604
2023/10/02 15:07:01.091,456,Get Qualifications,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,1027,524,2,2,456,0,0
2023/10/02 15:07:01.229,614,Get Qualifications,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,1027,524,2,2,614,0,0
2023/10/02 15:07:01.547,300,Get Financial-Relations,400,Bad Request,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,false,,479,547,2,2,300,0,0
2023/10/02 15:07:01.844,211,Get Financial-Relations,400,Bad Request,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,false,,479,547,2,2,211,0,0
2023/10/02 15:07:01.847,818,Get Token,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,471,335,2,2,818,0,619
2023/10/02 15:07:02.055,808,Get Token,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,471,335,2,2,808,0,608
2023/10/02 15:07:02.665,834,Get Identifications,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,2033,525,2,2,834,0,597
2023/10/02 15:07:02.863,827,Get Identifications,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,2033,525,2,2,827,0,594
2023/10/02 15:07:03.499,429,Get Qualifications,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,1027,524,2,2,429,0,0
2023/10/02 15:07:03.691,408,Get Qualifications,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,1027,524,2,2,408,0,0
2023/10/02 15:07:03.929,200,Get Financial-Relations,400,Bad Request,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,false,,479,547,2,2,200,0,0
2023/10/02 15:07:04.099,197,Get Financial-Relations,400,Bad Request,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,false,,479,547,2,2,197,0,0
2023/10/02 15:07:04.129,793,Get Token,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,471,335,2,2,792,0,598
2023/10/02 15:07:04.298,787,Get Token,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,471,335,2,2,787,0,591
2023/10/02 15:07:04.922,845,Get Identifications,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,2033,525,2,2,845,0,595
2023/10/02 15:07:05.085,843,Get Identifications,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,2033,525,2,2,843,0,599
2023/10/02 15:07:05.768,402,Get Qualifications,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,1027,524,2,2,402,0,0
2023/10/02 15:07:05.930,397,Get Qualifications,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,1027,524,2,2,397,0,0
2023/10/02 15:07:06.171,199,Get Financial-Relations,400,Bad Request,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,false,,479,547,2,2,199,0,0
2023/10/02 15:07:06.328,197,Get Financial-Relations,400,Bad Request,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,false,,479,547,2,2,197,0,0
2023/10/02 15:07:06.371,800,Get Token,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,471,335,2,2,800,0,604
2023/10/02 15:07:06.525,815,Get Token,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,471,335,2,2,815,0,609
2023/10/02 15:07:07.171,869,Get Identifications,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,2033,525,2,2,869,0,602
2023/10/02 15:07:07.341,819,Get Identifications,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,2033,525,2,2,819,0,589
2023/10/02 15:07:08.040,400,Get Qualifications,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,1027,524,2,2,400,0,0
2023/10/02 15:07:08.160,416,Get Qualifications,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,1027,524,2,2,416,0,0
2023/10/02 15:07:08.440,198,Get Financial-Relations,400,Bad Request,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,false,,479,547,2,2,198,0,0
2023/10/02 15:07:08.576,200,Get Financial-Relations,400,Bad Request,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,false,,479,547,2,2,200,0,0
2023/10/02 15:07:08.638,796,Get Token,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,471,335,2,2,796,0,601
2023/10/02 15:07:08.777,795,Get Token,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,471,335,2,2,795,0,599
2023/10/02 15:07:09.435,831,Get Identifications,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,2033,525,2,2,831,0,591
2023/10/02 15:07:09.573,833,Get Identifications,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,2033,525,2,2,833,0,599
2023/10/02 15:07:10.265,405,Get Qualifications,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,1027,524,2,2,405,0,0
2023/10/02 15:07:10.406,401,Get Qualifications,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,1027,524,2,2,401,0,0
2023/10/02 15:07:10.671,198,Get Financial-Relations,400,Bad Request,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,false,,479,547,2,2,198,0,0
2023/10/02 15:07:10.807,203,Get Financial-Relations,400,Bad Request,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,false,,479,547,2,2,203,0,0
2023/10/02 15:07:10.869,805,Get Token,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,471,335,2,2,805,0,609
2023/10/02 15:07:11.011,863,Get Token,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,471,335,2,2,863,0,608
2023/10/02 15:07:11.675,836,Get Identifications,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,2033,525,2,2,836,0,601
2023/10/02 15:07:11.875,830,Get Identifications,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,2033,525,2,2,830,0,594
2023/10/02 15:07:12.512,402,Get Qualifications,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,1027,524,2,2,401,0,0
2023/10/02 15:07:12.914,200,Get Financial-Relations,400,Bad Request,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,false,,479,547,2,2,200,0,0
