timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
2023/10/02 15:12:06.554,908,Get Token,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,471,335,2,2,908,0,713
2023/10/02 15:12:06.553,912,Get Token,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,471,335,2,2,912,0,713
2023/10/02 15:12:07.463,1101,Get Identifications,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,2033,525,2,2,1101,0,680
2023/10/02 15:12:07.466,1107,Get Identifications,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,2033,525,2,2,1107,0,679
2023/10/02 15:12:08.564,1173,Get Qualifications,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,1027,524,2,2,1173,0,0
2023/10/02 15:12:08.574,1321,Get Qualifications,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,1027,524,2,2,1321,0,0
2023/10/02 15:12:09.737,780,Get Financial-Relations,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,1014,529,2,2,780,0,395
2023/10/02 15:12:10.518,787,Get Token,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,471,335,2,2,787,0,590
2023/10/02 15:12:09.896,1947,Get Financial-Relations,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,1014,529,2,2,1947,0,391
2023/10/02 15:12:11.305,830,Get Identifications,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,2033,525,2,2,830,0,592
2023/10/02 15:12:12.136,412,Get Qualifications,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,1027,524,2,2,412,0,0
2023/10/02 15:12:11.844,812,Get Token,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,471,335,2,2,812,0,600
2023/10/02 15:12:12.549,233,Get Financial-Relations,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,1014,529,2,2,233,0,0
2023/10/02 15:12:12.656,851,Get Identifications,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,2033,525,2,2,851,0,616
2023/10/02 15:12:12.783,784,Get Token,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,471,335,2,2,784,0,588
2023/10/02 15:12:13.507,397,Get Qualifications,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,1027,524,2,2,397,0,0
2023/10/02 15:12:13.905,220,Get Financial-Relations,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,1014,529,2,2,220,0,0
2023/10/02 15:12:13.567,921,Get Identifications,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,2033,525,2,2,921,0,676
2023/10/02 15:12:14.488,402,Get Qualifications,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,1027,524,2,2,402,0,0
2023/10/02 15:12:14.126,794,Get Token,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,471,335,2,2,794,0,597
2023/10/02 15:12:14.890,229,Get Financial-Relations,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,1014,529,2,2,229,0,0
2023/10/02 15:12:14.921,844,Get Identifications,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,2033,525,2,2,844,0,597
2023/10/02 15:12:15.119,800,Get Token,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,471,335,2,2,800,0,599
2023/10/02 15:12:15.765,419,Get Qualifications,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,1027,524,2,2,419,0,0
2023/10/02 15:12:16.184,227,Get Financial-Relations,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,1014,529,2,2,227,0,0
2023/10/02 15:12:15.919,903,Get Identifications,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,2033,525,2,2,903,0,596
2023/10/02 15:12:16.822,401,Get Qualifications,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,1027,524,2,2,401,0,0
