timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
2023/08/18 16:02:39.638,1706,Get Token,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,454,316,2,2,1706,0,1478
2023/08/18 16:02:39.641,1703,Get Token,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,454,316,2,2,1703,0,1475
2023/08/18 16:02:41.349,1646,Get Contracts,404,Not Found,bzm - Concurrency Thread Group-ThreadStarter 1-1,,false,,123,486,2,2,1646,0,1416
2023/08/18 16:02:41.349,1669,Get Contracts,404,Not Found,bzm - Concurrency Thread Group-ThreadStarter 1-2,,false,,123,486,2,2,1669,0,1445
2023/08/18 16:02:42.996,968,Get Token,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,454,316,2,2,968,0,705
2023/08/18 16:02:43.019,1924,Get Token,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,454,316,2,2,1924,0,1695
2023/08/18 16:02:43.965,1956,Get Contracts,404,Not Found,bzm - Concurrency Thread Group-ThreadStarter 1-1,,false,,123,486,2,2,1956,0,1728
2023/08/18 16:02:45.922,980,Get Token,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,454,316,2,2,980,0,700
2023/08/18 16:02:44.943,2736,Get Contracts,404,Not Found,bzm - Concurrency Thread Group-ThreadStarter 1-2,,false,,123,486,2,2,2736,0,2507
2023/08/18 16:02:46.902,933,Get Contracts,404,Not Found,bzm - Concurrency Thread Group-ThreadStarter 1-1,,false,,123,486,2,2,933,0,702
2023/08/18 16:02:47.680,940,Get Token,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,454,316,2,2,940,0,701
2023/08/18 16:02:48.621,736,Get Contracts,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,false,,2935,0,2,2,0,0,736
2023/08/18 16:02:47.835,1523,Get Token,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,false,,2935,0,2,2,0,0,1523
