timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
2023/08/18 17:34:12.368,1122,Get Token,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,454,309,2,2,1122,0,870
2023/08/18 17:34:12.368,1122,Get Token,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,454,309,2,2,1122,0,870
2023/08/18 17:34:13.494,5230,Get Contracts,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,1185,473,2,2,5230,0,768
2023/08/18 17:34:13.493,5264,Get Contracts,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,1185,473,2,2,5263,0,762
2023/08/18 17:34:18.726,958,Get Token,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,454,309,2,2,958,0,720
2023/08/18 17:34:18.758,968,Get Token,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,454,309,2,2,968,0,715
2023/08/18 17:34:19.685,1257,Get Contracts,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,1185,473,2,2,1257,0,788
2023/08/18 17:34:19.727,1215,Get Contracts,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,1185,473,2,2,1215,0,763
2023/08/18 17:34:20.943,952,Get Token,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,454,309,2,2,952,0,725
2023/08/18 17:34:20.943,966,Get Token,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,454,309,2,2,966,0,725
2023/08/18 17:34:21.896,1068,Get Contracts,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,1185,473,2,2,1068,0,721
2023/08/18 17:34:21.909,1055,Get Contracts,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,1185,473,2,2,1055,0,721
2023/08/18 17:34:22.965,948,Get Token,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,454,309,2,2,948,0,711
2023/08/18 17:34:22.965,948,Get Token,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,454,309,2,2,948,0,711
2023/08/18 17:34:23.914,1222,Get Contracts,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,1185,473,2,2,1222,0,726
2023/08/18 17:34:23.914,1479,Get Contracts,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,1185,473,2,2,1479,0,726
2023/08/18 17:34:25.136,952,Get Token,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,454,309,2,2,952,0,719
2023/08/18 17:34:25.395,957,Get Token,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,454,309,2,2,957,0,716
2023/08/18 17:34:26.090,1204,Get Contracts,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,1185,473,2,2,1204,0,728
2023/08/18 17:34:26.353,1260,Get Contracts,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,1185,473,2,2,1260,0,717
